#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,N`)HE-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         50
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 9588.53     6.8267E-06   Lin-Lin
 9733.5      7.48663E-06  Lin-Lin
 9865.85     8.12937E-06  Lin-Lin
 10000       8.8216E-06   Lin-Lin
 10162.9     9.72628E-06  Lin-Lin
 10325       1.06925E-05  Lin-Lin
 10485.4     1.17161E-05  Lin-Lin
 10644.9     1.28031E-05  Lin-Lin
 10802.6     1.39485E-05  Lin-Lin
 10959.2     1.51584E-05  Lin-Lin
 11062.7     1.59982E-05  Lin-Lin
 11269.4     1.77747E-05  Lin-Lin
 11473.2     1.96621E-05  Lin-Lin
 11674.2     2.16596E-05  Lin-Lin
 11872.3     2.37656E-05  Lin-Lin
 12067.3     2.59781E-05  Lin-Lin
 12259.4     2.82946E-05  Lin-Lin
 12448.3     3.07122E-05  Lin-Lin
 12634.1     3.32276E-05  Lin-Lin
 12906.2     3.71651E-05  Lin-Lin
 13172.5     4.13219E-05  Lin-Lin
 13430.2     4.5639E-05   Lin-Lin
 13681.9     5.01461E-05  Lin-Lin
 13925       5.47787E-05  Lin-Lin
 14162       5.95686E-05  Lin-Lin
 14470.9     6.62225E-05  Lin-Lin
 14766.5     7.30433E-05  Lin-Lin
 15049.2     7.9988E-05   Lin-Lin
 15319.1     8.70153E-05  Lin-Lin
 15698.6     9.75688E-05  Lin-Lin
 16055.2     0.000108213  Lin-Lin
 16382.3     0.000118616  Lin-Lin
 16688.3     0.000128912  Lin-Lin
 17070.2     0.000142541  Lin-Lin
 17411.5     0.000155468  Lin-Lin
 17859.6     0.000173521  Lin-Lin
 18339.8     0.000194257  Lin-Lin
 18741.4     0.000212725  Lin-Lin
 19181.6     0.000234151  Lin-Lin
 19723.4     0.000262252  Lin-Lin
 20000       0.00027734   Lin-Lin
 20513.3     0.000306976  Lin-Lin
 21006.5     0.000337139  Lin-Lin
 21479.6     0.000367641  Lin-Lin
 22148.6     0.000413391  Lin-Lin
 22780.7     0.000459449  Lin-Lin
 23176       0.000489651  Lin-Lin
 23935.9     0.000550707  Lin-Lin
 24621.1     0.000609144  Lin-Lin
 25511       0.00068976   Lin-Lin
 26280.5     0.000763722  Lin-Lin
 27164.7     0.00085351   Lin-Lin
 27847.4     0.00092627   Lin-Lin
 28903.7     0.00104463   Lin-Lin
 30000       0.0011747    Lin-Lin
 31098.4     0.00131383   Lin-Lin
 32537.4     0.00150682   Lin-Lin
 33792.7     0.00168467   Lin-Lin
 35247.8     0.00190128   Lin-Lin
 36380.1     0.00207717   Lin-Lin
 38147.2     0.00236363   Lin-Lin
 40000       0.0026785    Lin-Lin
 42294.9     0.00309292   Lin-Lin
 44102       0.00343287   Lin-Lin
 46958.5     0.00399149   Lin-Lin
 50000       0.0046105    Lin-Lin
 54151.7     0.00550187   Lin-Lin
 60000       0.006805     Lin-Lin
 70000       0.0091418    Lin-Lin
 94868.3     0.0151235    Lin-Lin
 100000      0.016339     Lin-Lin
 110668      0.0189452    Lin-Lin
 122863      0.0217861    Lin-Lin
 131940      0.0237924    Lin-Lin
 143721      0.0262517    Lin-Lin
 150000      0.027495     Lin-Lin
 161185      0.0298747    Lin-Lin
 170119      0.0316794    Lin-Lin
 184455      0.0343999    Lin-Lin
 200000      0.037113     Lin-Lin
 211474      0.0391968    Lin-Lin
 229932      0.0423034    Lin-Lin
 250000      0.045358     Lin-Lin
 300000      0.052463     Lin-Lin
 350000      0.058618     Lin-Lin
 400000      0.06397      Lin-Lin
 450000      0.068635     Lin-Lin
 500000      0.072709     Lin-Lin
 550000      0.07627      Lin-Lin
 600000      0.079384     Lin-Lin
 650000      0.082107     Lin-Lin
 700000      0.084488     Lin-Lin
 774597      0.0874698    Lin-Lin
 850000      0.089963     Lin-Lin
 950000      0.092533     Lin-Lin
