#LIBRARY    ENDF/B-VII.1
#REACTION   HE-3(T,D`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         650
#EN-MIN     1000
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 50000       5.3856E-06   Lin-Lin
 50573       5.80678E-06  Lin-Lin
 51372.8     6.43596E-06  Lin-Lin
 52117.7     7.0673E-06   Lin-Lin
 52795.9     7.68179E-06  Lin-Lin
 53426       8.28799E-06  Lin-Lin
 54206.6     9.08823E-06  Lin-Lin
 54899       9.84535E-06  Lin-Lin
 55800.6     1.09007E-05  Lin-Lin
 56309       1.15319E-05  Lin-Lin
 57209.9     1.27166E-05  Lin-Lin
 58154.1     1.40527E-05  Lin-Lin
 59201.8     1.56539E-05  Lin-Lin
 60289.7     1.74533E-05  Lin-Lin
 61130.5     1.89414E-05  Lin-Lin
 62174.6     2.09158E-05  Lin-Lin
 63102.8     2.27931E-05  Lin-Lin
 64290       2.53688E-05  Lin-Lin
 65300.8     2.77221E-05  Lin-Lin
 66445.2     3.05714E-05  Lin-Lin
 67646.3     3.37815E-05  Lin-Lin
 68981.4     3.7624E-05   Lin-Lin
 70000       4.0757E-05   Lin-Lin
 71178.2     4.45937E-05  Lin-Lin
 72225.4     4.82108E-05  Lin-Lin
 73564.5     5.31292E-05  Lin-Lin
 74704.3     5.75825E-05  Lin-Lin
 75994.4     6.29281E-05  Lin-Lin
 77401.4     6.91382E-05  Lin-Lin
 78690       7.51835E-05  Lin-Lin
 80000       8.169E-05    Lin-Lin
 81711.2     9.07182E-05  Lin-Lin
 83171.5     9.89359E-05  Lin-Lin
 84828.4     0.000108849  Lin-Lin
 86092.8     0.000116843  Lin-Lin
 88024.7     0.000129795  Lin-Lin
 90000       0.00014398   Lin-Lin
 91193.1     0.000152985  Lin-Lin
 93319.3     0.000169922  Lin-Lin
 95563.9     0.000189063  Lin-Lin
 98074.1     0.000212039  Lin-Lin
 100000      0.00023081   Lin-Lin
 102305      0.000254445  Lin-Lin
 104366      0.000276793  Lin-Lin
 107017      0.00030726   Lin-Lin
 109287      0.000334907  Lin-Lin
 111872      0.000368147  Lin-Lin
 114710      0.000406812  Lin-Lin
 117325      0.000444479  Lin-Lin
 121162      0.000503093  Lin-Lin
 124415      0.000555678  Lin-Lin
 128140      0.000619522  Lin-Lin
 131008      0.000671281  Lin-Lin
 135429      0.000755546  Lin-Lin
 140000      0.00084827   Lin-Lin
 144752      0.000949419  Lin-Lin
 148422      0.00103148   Lin-Lin
 154103      0.00116513   Lin-Lin
 164781      0.00143211   Lin-Lin
 168461      0.00152919   Lin-Lin
 174135      0.00168727   Lin-Lin
 180000      0.0018617    Lin-Lin
 184804      0.00199989   Lin-Lin
 192252      0.00222664   Lin-Lin
 202397      0.00255413   Lin-Lin
 212276      0.00287764   Lin-Lin
 220000      0.0031469    Lin-Lin
 229782      0.00348029   Lin-Lin
 240000      0.003849     Lin-Lin
 249800      0.00419491   Lin-Lin
 264862      0.00474493   Lin-Lin
 300000      0.0060374    Lin-Lin
 324037      0.00687653   Lin-Lin
 350000      0.0078323    Lin-Lin
 386867      0.00907172   Lin-Lin
 400000      0.009527     Lin-Lin
 450000      0.011095     Lin-Lin
 500000      0.012532     Lin-Lin
 550000      0.013842     Lin-Lin
 600000      0.015034     Lin-Lin
 700000      0.017106     Lin-Lin
 800000      0.018819     Lin-Lin
 900000      0.02023      Lin-Lin
 1E+06       0.021385     Lin-Lin
 1.1E+06     0.022314     Lin-Lin
 1.2E+06     0.023047     Lin-Lin
 1.3E+06     0.023606     Lin-Lin
 1.4E+06     0.024014     Lin-Lin
 1.5E+06     0.024289     Lin-Lin
 1.6E+06     0.02445      Lin-Lin
 1.7E+06     0.024515     Lin-Lin
 1.84932E+06 0.024461     Lin-Lin
 2E+06       0.024289     Lin-Lin
 2.24944E+06 0.0238022    Lin-Lin
 2.86633E+06 0.0223357    Lin-Lin
 3E+06       0.022052     Lin-Lin
 3.5E+06     0.021283     Lin-Lin
 4E+06       0.02174      Lin-Lin
 5E+06       0.022958     Lin-Lin
