#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,P`)H-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         600
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 9588.53     6.98075E-06  Lin-Lin
 9733.5      7.65528E-06  Lin-Lin
 9865.85     8.31221E-06  Lin-Lin
 10000       9.0197E-06   Lin-Lin
 10162.9     9.94157E-06  Lin-Lin
 10325       1.09258E-05  Lin-Lin
 10485.4     1.19682E-05  Lin-Lin
 10644.9     1.30749E-05  Lin-Lin
 10802.6     1.42406E-05  Lin-Lin
 10959.2     1.54717E-05  Lin-Lin
 11062.7     1.6326E-05   Lin-Lin
 11269.4     1.81327E-05  Lin-Lin
 11473.2     2.00515E-05  Lin-Lin
 11674.2     2.20816E-05  Lin-Lin
 11872.3     2.42213E-05  Lin-Lin
 12067.3     2.64685E-05  Lin-Lin
 12259.4     2.88207E-05  Lin-Lin
 12448.3     3.12748E-05  Lin-Lin
 12634.1     3.38275E-05  Lin-Lin
 12906.2     3.78222E-05  Lin-Lin
 13172.5     4.20378E-05  Lin-Lin
 13430.2     4.64145E-05  Lin-Lin
 13681.9     5.09823E-05  Lin-Lin
 13925       5.56758E-05  Lin-Lin
 14162       6.05272E-05  Lin-Lin
 14470.9     6.72646E-05  Lin-Lin
 14766.5     7.41684E-05  Lin-Lin
 15049.2     8.11955E-05  Lin-Lin
 15319.1     8.83039E-05  Lin-Lin
 15698.6     9.89757E-05  Lin-Lin
 16055.2     0.000109736  Lin-Lin
 16382.3     0.000120248  Lin-Lin
 16688.3     0.000130648  Lin-Lin
 17070.2     0.000144412  Lin-Lin
 17411.5     0.000157461  Lin-Lin
 17859.6     0.000175681  Lin-Lin
 18339.8     0.000196598  Lin-Lin
 18741.4     0.000215223  Lin-Lin
 19181.6     0.000236822  Lin-Lin
 19723.4     0.00026514   Lin-Lin
 20255       0.000294887  Lin-Lin
 20758.4     0.000324887  Lin-Lin
 21241.7     0.000355299  Lin-Lin
 21932.8     0.000401538  Lin-Lin
 22572.6     0.000447233  Lin-Lin
 23176       0.000492874  Lin-Lin
