#LIBRARY    ENDF/B-VIII.0
#REACTION   HE-3(D,P`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         600
#EN-MIN     800
#EN-MAX     1.4e+06
#E,eV        Sig,b        Interpolation
 23080.9     4.85033E-06  Lin-Lin
 23307.3     5.25849E-06  Lin-Lin
 23552.4     5.73119E-06  Lin-Lin
 23775.1     6.19017E-06  Lin-Lin
 24000       6.6832E-06   Lin-Lin
 24241.3     7.24769E-06  Lin-Lin
 24548.3     8.02071E-06  Lin-Lin
 24808.3     8.72593E-06  Lin-Lin
 25101       9.57889E-06  Lin-Lin
 25406.5     1.05391E-05  Lin-Lin
 25743.9     1.16881E-05  Lin-Lin
 26000       1.2625E-05   Lin-Lin
 26348.5     1.39971E-05  Lin-Lin
 26643.8     1.52503E-05  Lin-Lin
 26976.6     1.67679E-05  Lin-Lin
 27324.1     1.84783E-05  Lin-Lin
 27563.6     1.97356E-05  Lin-Lin
 27853.8     2.13486E-05  Lin-Lin
 28121       2.29254E-05  Lin-Lin
 28456.4     2.50348E-05  Lin-Lin
 28834.7     2.75938E-05  Lin-Lin
 29230.1     3.04839E-05  Lin-Lin
 29502.8     3.26117E-05  Lin-Lin
 29833.3     3.53454E-05  Lin-Lin
 30144.9     3.80854E-05  Lin-Lin
 30565.3     4.20471E-05  Lin-Lin
 30947.8     4.59243E-05  Lin-Lin
 31303       4.97683E-05  Lin-Lin
 31742.8     5.48698E-05  Lin-Lin
 32132.8     5.97228E-05  Lin-Lin
 32630.1     6.63853E-05  Lin-Lin
 33052.2     7.24779E-05  Lin-Lin
 33528.8     7.98626E-05  Lin-Lin
 34027.4     8.81935E-05  Lin-Lin
 34371.6     9.43212E-05  Lin-Lin
 34789.3     0.000102187  Lin-Lin
 35293.3     0.000112354  Lin-Lin
 35849.9     0.000124473  Lin-Lin
 36344.2     0.000136042  Lin-Lin
 36782.2     0.000146959  Lin-Lin
 37340.7     0.000161821  Lin-Lin
 37814.7     0.000175297  Lin-Lin
 38349.5     0.000191497  Lin-Lin
 38931       0.000210352  Lin-Lin
 39461.9     0.000228744  Lin-Lin
 40000       0.00024858   Lin-Lin
 40593.3     0.000271988  Lin-Lin
 41119.6     0.000294085  Lin-Lin
 41791.3     0.000324178  Lin-Lin
 42361.9     0.00035147   Lin-Lin
 43006.6     0.000384288  Lin-Lin
 43708.2     0.00042249   Lin-Lin
 44349.4     0.000459756  Lin-Lin
 45000       0.00049995   Lin-Lin
 45860.1     0.000557152  Lin-Lin
 46592.5     0.000609467  Lin-Lin
 47422       0.000672867  Lin-Lin
 48292.8     0.000744365  Lin-Lin
 49261.1     0.000830032  Lin-Lin
 50000       0.00089994   Lin-Lin
 50863.7     0.000987211  Lin-Lin
 51598       0.00106596   Lin-Lin
 52428.2     0.00116018   Lin-Lin
 53332.6     0.00126927   Lin-Lin
 54438.5     0.00141209   Lin-Lin
 55299.9     0.00153098   Lin-Lin
 56133.1     0.00165278   Lin-Lin
 57075.8     0.00179842   Lin-Lin
 58103.5     0.00196691   Lin-Lin
 59361       0.00218729   Lin-Lin
 60000       0.0023054    Lin-Lin
 61212.7     0.00254257   Lin-Lin
 62138.3     0.00273422   Lin-Lin
 63553.1     0.00304538   Lin-Lin
 65000       0.003387     Lin-Lin
 66215.5     0.00369461   Lin-Lin
 67142       0.00394099   Lin-Lin
 68556.1     0.0043373    Lin-Lin
 70000       0.0047677    Lin-Lin
